Topics,Alpha,Beta,Coherence
20,0.01,0.01,0.4945754113192451
20,0.01,0.26,0.5374821330892149
20,0.01,0.51,0.49210036963146714
20,0.01,0.76,0.5060828815783436
20,0.01,1.0,0.5140992000939062
20,0.01,symmetric,0.4582994460785246
20,0.26,0.01,0.4950692461710361
20,0.26,0.26,0.4718072101461927
20,0.26,0.51,0.5772241228134707
20,0.26,0.76,0.536229789351385
20,0.26,1.0,0.570679996681341
20,0.26,symmetric,0.4774916836259314
20,0.51,0.01,0.4782862003880447
20,0.51,0.26,0.5065129087882023
20,0.51,0.51,0.5280762624118507
20,0.51,0.76,0.5097478648020161
20,0.51,1.0,0.45028584908277913
20,0.51,symmetric,0.4434433331579797
20,0.76,0.01,0.46605524342715887
20,0.76,0.26,0.5074595347802221
20,0.76,0.51,0.46534157022077294
20,0.76,0.76,0.5051945415929202
20,0.76,1.0,0.5265531926466346
20,0.76,symmetric,0.43766701238715233
20,1.0,0.01,0.45137698162065093
20,1.0,0.26,0.46053440999148687
20,1.0,0.51,0.5286150403967342
20,1.0,0.76,0.5283141445312414
20,1.0,1.0,0.4791529351625048
20,1.0,symmetric,0.4683927862997601
20,symmetric,0.01,0.4425314446342313
20,symmetric,0.26,0.46358261132388756
20,symmetric,0.51,0.5004588375797312
20,symmetric,0.76,0.5273719134469783
20,symmetric,1.0,0.4815743455524338
20,symmetric,symmetric,0.4526808785382498
20,asymmetric,0.01,0.4659659760293876
20,asymmetric,0.26,0.500590572203908
20,asymmetric,0.51,0.520694427698656
20,asymmetric,0.76,0.563318897624763
20,asymmetric,1.0,0.5356562842009673
20,asymmetric,symmetric,0.4790262799701475
